skill
HTML
CSS
TailWind
ReactJS
NextJS
Golang
MySQL
Docker
Java
Python
NodeJS
ExpressJS
AWS-EC2
AWS-RDS
AWS-Route53
C++
VueJS
Flutter
Git
TypeScript
